application_id,business_type,business_age,monthly_revenue,credit_score,bank_balance,gst_compliance,pan_card,gst_number,risk_level,risk_score,max_loan_amount,interest_rate,loan_approved
SME0202,Manufacturing,4,1452144,399,2752455,TRUE,LQEYM7748C,32LQEYM7748C5Z9,High,36,6099004.8,15.94,FALSE
SME0203,Automotive,17,1651330,330,2279409,TRUE,CAYVR7881R,09CAYVR7881R8ZZ,High,44,6935586,14.75,FALSE
SME0204,Healthcare,7,1071248,827,1713820,FALSE,GDMQX1242W,29GDMQX1242W7ZQ,High,47,4499241.6,14.43,FALSE
SME0205,Services,8,4757851,628,305599,TRUE,GRMWV9881W,31GRMWV9881W7Z3,Medium,56,10000000,13.34,TRUE
SME0206,Trading,3,2707411,465,1567009,TRUE,EVQWV3083B,14EVQWV3083B2ZP,High,39,10000000,15.53,FALSE
SME0207,Trading,2,1793439,758,607904,TRUE,XRUVK7003U,23XRUVK7003U9Z7,High,47,7532443.8,13.86,FALSE
SME0208,Services,15,1931094,399,3767454,TRUE,MIGWX4408F,14MIGWX4408F7Z6,Medium,53,10000000,11.17,TRUE
SME0209,Food & Beverage,5,3537172,472,126841,TRUE,YSPUB9471X,09YSPUB9471X3ZD,High,39,10000000,14.95,FALSE
SME0210,Services,1,1159325,461,179934,TRUE,DZJAE0672C,17DZJAE0672C2ZL,High,25,4869165,14.16,FALSE
SME0211,Services,4,2063571,562,3932750,TRUE,GDCOH2610F,26GDCOH2610F9ZP,Medium,52,10000000,11.63,TRUE
SME0212,Trading,15,4519323,573,1145270,FALSE,HAJYS2308K,02HAJYS2308K1ZX,Medium,53,10000000,13.19,TRUE
SME0213,Construction,20,697218,302,247068,TRUE,SMZPD0304E,19SMZPD0304E7ZH,High,34,2928315.6,13.77,FALSE
SME0214,Trading,19,3915144,327,3649688,TRUE,NWNHD6325D,13NWNHD6325D5ZM,Medium,61,10000000,12.79,TRUE
SME0215,Automotive,3,3536252,625,4159287,TRUE,SIUMN6594W,24SIUMN6594W8ZP,Medium,62,10000000,11.68,TRUE
SME0216,Manufacturing,20,917052,448,1614243,TRUE,FZBMM2120H,15FZBMM2120H9Z0,High,48,3851618.4,15.78,FALSE
SME0217,Textile,11,2085957,839,861161,TRUE,VPBHF6062K,28VPBHF6062K1ZD,Medium,62,10000000,12.81,TRUE
SME0218,Construction,17,1528080,787,4782945,TRUE,HVDKH8915U,34HVDKH8915U6Z4,Low,79,10000000,9.51,TRUE
SME0219,Retail,13,1201928,737,715356,FALSE,UZSHN7479X,31UZSHN7479X5ZE,High,45,5048097.6,15.03,FALSE
SME0220,Textile,11,2621279,364,1648846,FALSE,SRIBY3190D,15SRIBY3190D4Z4,High,32,10000000,13.92,FALSE
SME0221,Manufacturing,2,2200343,655,4240987,TRUE,YLIDI5095Y,28YLIDI5095Y1ZA,Medium,57,10000000,13.17,TRUE
SME0222,Automotive,9,4196392,832,3269819,TRUE,RFRTP7686Q,06RFRTP7686Q7Z1,Low,78,10000000,10.81,TRUE
SME0223,Automotive,2,2826016,551,1469410,TRUE,RVWSY6550P,15RVWSY6550P7ZL,High,43,10000000,14.76,FALSE
SME0224,Retail,9,1344289,534,334934,TRUE,EZCWJ2462M,09EZCWJ2462M8ZT,High,38,5646013.8,14.83,FALSE
SME0225,Construction,9,542939,526,1812466,TRUE,MJBFH3876N,16MJBFH3876N4ZT,High,41,2280343.8,14.41,FALSE
SME0226,Food & Beverage,8,1152207,824,3831615,TRUE,WSNVM4020D,09WSNVM4020D1Z7,Medium,67,6913242,12.79,TRUE
SME0227,Services,17,3382972,612,2392865,TRUE,JCTIC5568L,18JCTIC5568L2ZV,Medium,67,10000000,11.9,TRUE
SME0228,Construction,1,404224,348,807583,TRUE,WAPXE8944R,32WAPXE8944R5ZZ,High,18,1697740.8,14.3,FALSE
SME0229,Food & Beverage,11,4514473,417,474310,FALSE,LCZYG0210Y,36LCZYG0210Y5ZV,High,37,10000000,14.8,FALSE
SME0230,Automotive,8,2811793,353,3724755,TRUE,XEBAG1016G,31XEBAG1016G5ZF,High,47,10000000,13.77,FALSE
SME0231,Trading,10,4847263,343,567242,TRUE,JVUCL2838P,14JVUCL2838P9ZN,High,44,10000000,15.74,FALSE
SME0232,Manufacturing,7,2419124,352,3137640,TRUE,TRDVF4024V,25TRDVF4024V3ZY,High,42,10000000,13.54,FALSE
SME0233,Retail,3,4023227,824,778223,TRUE,QNICZ2172V,17QNICZ2172V6Z3,Medium,61,10000000,12.61,TRUE
SME0234,Manufacturing,3,2173290,401,4313677,TRUE,PRGMD8986O,11PRGMD8986O8Z1,High,44,9127818,14.05,FALSE
SME0235,Technology,18,2618970,697,4108535,TRUE,HSKEB9678K,34HSKEB9678K7ZU,Low,77,10000000,9.85,TRUE
SME0236,Technology,5,3989877,437,4763292,TRUE,KWZPJ7859R,37KWZPJ7859R1Z6,Medium,57,10000000,12.59,TRUE
SME0237,Construction,12,1827408,686,1182304,TRUE,RDIGR7687C,32RDIGR7687C7ZC,Medium,55,10000000,13.48,TRUE
SME0238,Automotive,12,2901742,410,1653909,TRUE,QBONR3538T,24QBONR3538T2ZX,High,46,10000000,15.83,FALSE
SME0239,Automotive,19,3188272,316,2009117,TRUE,FFZKZ0725C,34FFZKZ0725C3Z0,Medium,51,10000000,11.56,TRUE
SME0240,Services,6,1155675,481,929134,TRUE,POKRO4086C,31POKRO4086C2Z0,High,34,4853835,14.03,FALSE
SME0241,Services,2,3664375,835,1865797,FALSE,TMVCG5843C,16TMVCG5843C7ZE,Medium,53,10000000,13.17,TRUE
SME0242,Services,12,1065188,840,2939735,TRUE,JASSW6027P,33JASSW6027P7ZX,Medium,67,6391128,12.11,TRUE
SME0243,Trading,19,4848703,470,4646440,TRUE,YWWOP7520G,17YWWOP7520G9Z5,Low,76,10000000,9.71,TRUE
SME0244,Textile,5,2261088,708,521162,TRUE,AQIZW3506L,31AQIZW3506L5ZT,High,48,9496569.6,16.09,FALSE
SME0245,Healthcare,12,2420484,677,2580725,TRUE,VTWSQ3201U,05VTWSQ3201U7ZC,Medium,63,10000000,13.04,TRUE
SME0246,Textile,17,4205223,487,3421134,TRUE,OHATN3467O,04OHATN3467O2Z2,Medium,68,10000000,13.46,TRUE
SME0247,Manufacturing,17,2922988,529,2436277,TRUE,FAWSM5769V,12FAWSM5769V1ZQ,Medium,61,10000000,13.27,TRUE
SME0248,Textile,10,4019047,418,3210450,TRUE,IIQQQ7962B,13IIQQQ7962B1Z7,Medium,55,10000000,13.13,TRUE
SME0249,Trading,17,3568792,455,2289042,FALSE,DSGZO7525P,32DSGZO7525P4ZG,High,49,10000000,13.66,FALSE
SME0250,Manufacturing,15,587510,764,1327621,TRUE,BGKZG3736D,34BGKZG3736D3ZY,Medium,58,3525060,11.26,TRUE
SME0251,Textile,12,3675168,403,3647967,TRUE,LEWZS9424C,24LEWZS9424C6ZH,Medium,57,10000000,12.42,TRUE
SME0252,Trading,16,4155447,801,2377893,TRUE,ZKGQY8489M,33ZKGQY8489M1ZM,Low,79,10000000,10.3,TRUE
SME0253,Healthcare,19,1773879,474,1450351,TRUE,OVECH3925H,25OVECH3925H5ZQ,Medium,51,10000000,12.14,TRUE
SME0254,Textile,8,1880752,720,1908917,TRUE,IVULK1181B,01IVULK1181B5Z9,Medium,56,10000000,11.99,TRUE
SME0255,Trading,17,3393331,433,749574,TRUE,CPSDW8138R,31CPSDW8138R9ZJ,Medium,51,10000000,12.08,TRUE
SME0256,Services,5,3864455,690,4081495,TRUE,JKQZX8673P,02JKQZX8673P7ZE,Medium,68,10000000,12.42,TRUE
SME0257,Automotive,16,4435518,800,335437,TRUE,TMBXB8303C,28TMBXB8303C2ZD,Low,72,10000000,9.5,TRUE
SME0258,Services,6,503082,332,1826760,TRUE,LVWHB5594J,02LVWHB5594J2ZY,High,27,2112944.4,14.28,FALSE
SME0259,Automotive,8,301139,354,2101013,TRUE,JWCTJ8321E,37JWCTJ8321E9ZE,High,31,1264783.8,15.05,FALSE
SME0260,Retail,18,4004722,818,3640623,TRUE,THGFK1298Y,12THGFK1298Y9ZU,Low,87,10000000,10.58,TRUE
SME0261,Retail,12,2846866,311,3691890,TRUE,UNCRX5960A,14UNCRX5960A5Z7,High,49,10000000,14.02,FALSE
SME0262,Retail,15,1307786,827,882834,FALSE,ZRZOS0420H,03ZRZOS0420H2ZF,Medium,53,7846716,12.37,TRUE
SME0263,Healthcare,9,192601,672,4647370,TRUE,LVYSY8025H,19LVYSY8025H9ZF,Medium,59,1155606,12.79,TRUE
SME0264,Services,13,3275684,783,629696,TRUE,DEYVG6333O,31DEYVG6333O6ZR,Medium,65,10000000,12.11,TRUE
SME0265,Automotive,15,3484068,527,4082250,TRUE,UEXIB6003Z,04UEXIB6003Z3ZH,Medium,68,10000000,11.07,TRUE
SME0266,Trading,10,729085,606,4122732,TRUE,WBKBA9168V,32WBKBA9168V4Z8,Medium,56,4374510,12.12,TRUE
SME0267,Manufacturing,16,2059925,756,4324366,TRUE,ZBOJO9860I,36ZBOJO9860I5Z1,Low,76,10000000,9.94,TRUE
SME0268,Trading,7,3109887,459,1042499,FALSE,RDIPD2065J,35RDIPD2065J6ZR,High,32,10000000,16.29,FALSE
SME0269,Manufacturing,17,1618087,630,3830888,TRUE,PDVVM3597C,36PDVVM3597C1ZM,Medium,67,9708522,11.31,TRUE
SME0270,Technology,7,2113321,524,2986030,TRUE,TJATK9987K,17TJATK9987K1Z0,Medium,50,10000000,12.63,TRUE
SME0271,Trading,14,2618638,803,2341348,TRUE,DGJSY9319U,23DGJSY9319U9ZV,Low,71,10000000,9.58,TRUE
SME0272,Textile,15,703103,755,4411913,TRUE,RNZPV9053S,19RNZPV9053S8Z2,Low,70,5062341.6,10.17,TRUE
SME0273,Textile,7,4333583,344,2022755,TRUE,BGISP5816U,12BGISP5816U3ZE,High,45,10000000,15.16,FALSE
SME0274,Construction,9,4666235,513,4487310,TRUE,UKGID8983S,17UKGID8983S2ZV,Medium,67,10000000,11.74,TRUE
SME0275,Services,19,2089968,358,2816284,TRUE,BILBF4435E,07BILBF4435E3Z6,Medium,52,10000000,12.14,TRUE
SME0276,Manufacturing,16,2345854,494,1860924,TRUE,DIVJP9929F,05DIVJP9929F8ZK,Medium,53,10000000,11.41,TRUE
SME0277,Manufacturing,8,4739681,788,2896569,TRUE,QEZFX8213H,07QEZFX8213H5ZM,Low,75,10000000,9.96,TRUE
SME0278,Services,18,2716241,456,3360448,TRUE,PXSTC9135K,11PXSTC9135K9ZK,Medium,61,10000000,12.55,TRUE
SME0279,Healthcare,18,2943586,525,1624099,TRUE,NPUSB8080O,33NPUSB8080O4ZW,Medium,59,10000000,11.75,TRUE
SME0280,Construction,20,1357008,711,1151452,TRUE,GVWSC0319H,35GVWSC0319H2ZZ,Medium,62,8142048,13.25,TRUE
SME0281,Healthcare,7,4170211,504,1240796,TRUE,SWWYF0702K,27SWWYF0702K3Z4,Medium,50,10000000,12.57,TRUE
SME0282,Healthcare,3,3943688,378,123936,TRUE,UXYOW8249X,29UXYOW8249X8Z9,High,34,10000000,14.82,FALSE
SME0283,Healthcare,18,3716984,423,4220583,TRUE,LAXGQ9950R,13LAXGQ9950R5ZB,Medium,66,10000000,11.1,TRUE
SME0284,Services,10,4417561,770,3259479,TRUE,ERZQV7775C,13ERZQV7775C6ZE,Low,76,10000000,10.25,TRUE
SME0285,Healthcare,7,4118365,517,3522305,TRUE,AREMJ4900Y,13AREMJ4900Y1Z0,Medium,59,10000000,12.91,TRUE
SME0286,Textile,17,1103171,815,4290428,TRUE,BGJTG7403Z,11BGJTG7403Z8ZL,Low,77,7942831.2,9.9,TRUE
SME0287,Retail,14,3000737,403,1922493,TRUE,PSZOL4995B,35PSZOL4995B3Z5,High,49,10000000,15.92,FALSE
SME0288,Technology,3,1470485,692,2443351,FALSE,GMCOA9289O,28GMCOA9289O7Z7,High,40,6176037,14.26,FALSE
SME0289,Manufacturing,12,1781076,733,2199063,TRUE,VFTOX4684E,05VFTOX4684E6ZG,Medium,62,10000000,13.06,TRUE
SME0290,Manufacturing,13,1711935,630,2992202,TRUE,DVRCQ1177B,09DVRCQ1177B4ZD,Medium,60,10000000,11.21,TRUE
SME0291,Technology,2,212990,442,2829182,TRUE,MVOEC4442C,14MVOEC4442C1ZQ,High,32,894558,16.1,FALSE
SME0292,Services,3,1081883,839,1003978,TRUE,TWRZT3097Q,25TWRZT3097Q4ZX,Medium,51,6491298,12.25,TRUE
SME0293,Trading,5,1768321,577,457244,TRUE,HGYHU7929G,16HGYHU7929G1Z2,High,39,7426948.2,14.39,FALSE
SME0294,Services,11,3393705,532,2483188,TRUE,LTEPI6359N,23LTEPI6359N2ZS,Medium,57,10000000,11.66,TRUE
SME0295,Manufacturing,8,1718702,828,4442027,TRUE,KGJID9270I,05KGJID9270I8ZS,Low,71,10000000,10.15,TRUE
SME0296,Manufacturing,12,1600071,389,3489000,TRUE,MABMX8626F,29MABMX8626F8Z2,High,47,6720298.2,16.5,FALSE
SME0297,Technology,7,3859505,791,848927,TRUE,RSKLZ9493R,02RSKLZ9493R9ZI,Medium,63,10000000,11.55,TRUE
SME0298,Healthcare,15,126806,498,92806,TRUE,DXEEL9275B,02DXEEL9275B3Z0,High,37,532585.2,13.81,FALSE
SME0299,Services,17,4709688,661,4035345,TRUE,RIMGJ8540L,27RIMGJ8540L6ZY,Low,82,10000000,10.38,TRUE
SME0300,Automotive,4,4364423,740,2839045,TRUE,VFSSP2269R,05VFSSP2269R6Z3,Medium,67,10000000,12.22,TRUE
SME0301,Technology,13,1973722,325,1288673,FALSE,ZMZRC9626Y,17ZMZRC9626Y5ZK,High,27,8289632.4,15.07,FALSE
SME0302,Textile,18,1619603,324,4125741,TRUE,ZLTGY7784U,31ZLTGY7784U6ZA,Medium,52,9717618,12.67,TRUE
SME0303,Manufacturing,1,2068541,693,3467521,TRUE,SUPXL4376O,34SUPXL4376O1ZE,Medium,55,10000000,11.67,TRUE
SME0304,Technology,16,2604659,806,4694013,TRUE,FENUM9137X,10FENUM9137X6ZV,Low,83,10000000,10.87,TRUE
SME0305,Services,13,1850740,600,4641889,TRUE,KQRUY9694A,31KQRUY9694A5ZR,Medium,65,10000000,12.09,TRUE
SME0306,Manufacturing,10,963403,638,3387932,TRUE,POFLH6143I,31POFLH6143I6ZD,Medium,56,5780418,11.32,TRUE
SME0307,Trading,12,979903,566,2464698,TRUE,JQLFS8458Y,23JQLFS8458Y9Z1,Medium,50,5879418,12.86,TRUE
SME0308,Technology,2,985421,760,2289023,TRUE,XYPTP5443B,34XYPTP5443B3ZO,Medium,50,5912526,12.61,TRUE
SME0309,Construction,3,4378384,755,2448710,TRUE,FIQNG5203Y,36FIQNG5203Y9ZH,Medium,65,10000000,11.79,TRUE
SME0310,Manufacturing,10,1078836,659,508512,TRUE,ORCRB9726H,13ORCRB9726H5ZQ,High,46,4531111.2,15.36,FALSE
SME0311,Services,2,3323522,367,3510967,FALSE,SRMMX2605L,34SRMMX2605L1ZC,High,33,10000000,14.16,FALSE
SME0312,Retail,13,2317181,711,777442,TRUE,MYLSN6572S,30MYLSN6572S5ZH,Medium,58,10000000,12.11,TRUE
SME0313,Automotive,13,279830,790,485278,TRUE,DSIPD5774U,14DSIPD5774U7Z7,Medium,53,1678980,13.25,TRUE
SME0314,Food & Beverage,18,1656518,348,1940440,TRUE,VJWMZ6356E,07VJWMZ6356E4ZF,High,45,6957375.6,13.9,FALSE
SME0315,Healthcare,3,3584144,401,389593,TRUE,URWLF0322W,31URWLF0322W3ZQ,High,34,10000000,14.66,FALSE
SME0316,Food & Beverage,7,2759083,515,504955,TRUE,ZTHKP8243N,33ZTHKP8243N5ZS,High,42,10000000,15.96,FALSE
SME0317,Services,14,4213640,737,1530180,TRUE,ZOFZD7240M,08ZOFZD7240M1ZI,Low,71,10000000,10.95,TRUE
SME0318,Textile,20,4600398,458,4850349,TRUE,VKUHY7723T,21VKUHY7723T9ZK,Low,76,10000000,10.18,TRUE
SME0319,Textile,17,1336497,788,1636528,FALSE,OOUMI8907P,25OOUMI8907P8ZM,Medium,56,8018982,12.27,TRUE
SME0320,Retail,12,4977708,541,2924611,FALSE,NAPRG7026M,11NAPRG7026M1ZJ,Medium,57,10000000,12.43,TRUE
SME0321,Healthcare,16,1647261,304,2797976,FALSE,IXXOY9270P,25IXXOY9270P8ZB,High,34,6918496.2,16.3,FALSE
SME0322,Construction,12,966183,660,1318014,TRUE,HWMHQ5644G,32HWMHQ5644G1Z9,Medium,51,5797098,13.15,TRUE
SME0323,Retail,15,722893,758,2257680,TRUE,OPSFW0137Z,04OPSFW0137Z3Z5,Medium,62,4337358,11.43,TRUE
SME0324,Food & Beverage,10,4639014,547,4672315,TRUE,VAZUG5873M,27VAZUG5873M5Z4,Low,71,10000000,10.16,TRUE
SME0325,Retail,7,3995958,721,2831839,TRUE,LEGHE8933H,18LEGHE8933H3ZL,Medium,67,10000000,12.16,TRUE
SME0326,Food & Beverage,20,4926847,314,4951064,TRUE,QHUAT1374A,34QHUAT1374A4ZH,Low,70,10000000,10.68,TRUE
SME0327,Manufacturing,5,551157,421,308783,TRUE,GAICL2595F,26GAICL2595F6ZW,High,25,2314859.4,15.31,FALSE
SME0328,Textile,1,1365898,576,3386910,TRUE,QUVXQ4217G,14QUVXQ4217G3ZN,High,45,5736771.6,15.46,FALSE
SME0329,Manufacturing,17,2220539,752,3612571,TRUE,JGELP8412T,21JGELP8412T8ZV,Low,75,10000000,11,TRUE
SME0330,Automotive,3,980412,689,1147613,TRUE,OEMSL6445G,31OEMSL6445G2ZM,High,43,4117730.4,13.72,FALSE
SME0331,Healthcare,13,3331185,593,3889928,FALSE,ZJPHI3447Y,25ZJPHI3447Y7ZI,Medium,58,10000000,11.56,TRUE
SME0332,Construction,14,2341281,745,3865288,TRUE,GOUCQ8489O,07GOUCQ8489O8ZD,Low,73,10000000,10.11,TRUE
SME0333,Food & Beverage,18,3834044,509,2125226,TRUE,NDUTB0734F,01NDUTB0734F3ZR,Medium,63,10000000,11.87,TRUE
SME0334,Construction,4,417875,601,1350683,TRUE,XKHGD5360U,15XKHGD5360U4Z2,High,37,1755075,13.56,FALSE
SME0335,Food & Beverage,18,1328337,522,3640400,TRUE,ONJLP9368U,04ONJLP9368U5ZP,Medium,60,7970022,11.23,TRUE
SME0336,Services,5,2766078,302,2864119,FALSE,TIUYX3649D,25TIUYX3649D8ZB,High,28,10000000,15.54,FALSE
SME0337,Retail,16,584814,817,2683705,TRUE,EEKIP8531N,03EEKIP8531N2ZM,Medium,67,3508884,13.2,TRUE
SME0338,Automotive,1,1326134,392,3607170,TRUE,CRUFK4148T,33CRUFK4148T6ZM,High,36,5569762.8,15.04,FALSE
SME0339,Textile,14,3790583,819,3315610,TRUE,ZRSCI3006W,31ZRSCI3006W9ZB,Low,81,10000000,10.31,TRUE
SME0340,Food & Beverage,15,2620107,727,463222,FALSE,BIIEO2225D,35BIIEO2225D2ZK,Medium,51,10000000,11.64,TRUE
SME0341,Construction,9,1730668,792,2098618,TRUE,XMMKE0805A,01XMMKE0805A6Z8,Medium,61,10000000,12.92,TRUE
SME0342,Automotive,15,1699908,534,4842094,FALSE,COZUZ6978V,23COZUZ6978V7ZU,Medium,54,10000000,12.88,TRUE
SME0343,Trading,17,2264412,460,2609327,TRUE,OIXYJ3864U,24OIXYJ3864U2Z4,Medium,55,10000000,12.47,TRUE
SME0344,Trading,4,2453847,630,4410852,TRUE,ABZSN7594A,05ABZSN7594A3ZR,Medium,59,10000000,11.53,TRUE
SME0345,Manufacturing,12,2730146,632,4655287,TRUE,KYCSR3189G,26KYCSR3189G7ZT,Low,70,10000000,9.65,TRUE
SME0346,Textile,5,2992478,349,2603157,FALSE,HSVOJ5052K,03HSVOJ5052K1Z2,High,30,10000000,13.69,FALSE
SME0347,Services,5,2084117,822,2807909,TRUE,CSJOK9743M,05CSJOK9743M9ZI,Medium,63,10000000,12.48,TRUE
SME0348,Construction,11,2543282,791,2959311,TRUE,IYQBX4609L,01IYQBX4609L6Z8,Low,70,10000000,10.74,TRUE
SME0349,Retail,6,129725,571,227314,TRUE,UKLSZ1183T,05UKLSZ1183T2ZW,High,32,544845,16.07,FALSE
SME0350,Retail,7,1285574,551,2645122,TRUE,WZPJM1225S,25WZPJM1225S9Z8,High,46,5399410.8,14.89,FALSE
SME0351,Construction,14,4398859,389,3476032,TRUE,UTSHN9256W,03UTSHN9256W4ZJ,Medium,60,10000000,12.96,TRUE
SME0352,Healthcare,11,895928,745,758692,FALSE,RNSZJ3612G,23RNSZJ3612G5Z7,High,42,3762897.6,16.34,FALSE
SME0353,Services,13,988036,631,2392962,TRUE,WPJSQ2463M,37WPJSQ2463M8ZW,Medium,55,5928216,11.69,TRUE
SME0354,Automotive,2,3071783,438,3476689,TRUE,MKKPO0512D,33MKKPO0512D7ZL,High,46,10000000,14.69,FALSE
SME0355,Food & Beverage,7,2762761,656,2086775,TRUE,VVWEG1097A,05VVWEG1097A5ZO,Medium,56,10000000,13.33,TRUE
SME0356,Healthcare,20,2613024,573,1624694,TRUE,LBJVQ9267T,17LBJVQ9267T8Z6,Medium,62,10000000,11.85,TRUE
SME0357,Food & Beverage,4,2640034,318,591904,TRUE,LCQIJ5580V,19LCQIJ5580V4Z6,High,28,10000000,16.24,FALSE
SME0358,Food & Beverage,8,2498083,610,4475669,TRUE,LEMOV7411Z,24LEMOV7411Z9Z0,Medium,63,10000000,13.45,TRUE
SME0359,Healthcare,20,2653314,453,3298210,TRUE,PUCJS7604P,32PUCJS7604P8Z1,Medium,62,10000000,12.65,TRUE
SME0360,Manufacturing,19,4840319,689,3891143,TRUE,YDQXU1028Q,15YDQXU1028Q5ZN,Low,85,10000000,10.73,TRUE
SME0361,Trading,13,4009439,559,4921077,TRUE,TXXZK7973H,17TXXZK7973H4Z8,Low,73,10000000,10.62,TRUE
SME0362,Food & Beverage,14,4011146,424,3156779,TRUE,IGNBY7426N,35IGNBY7426N4ZI,Medium,59,10000000,12.75,TRUE
SME0363,Healthcare,10,1740920,653,1955537,TRUE,OBSLY3324C,18OBSLY3324C4ZT,Medium,54,10000000,11.77,TRUE
SME0364,Healthcare,11,1807017,572,2051381,FALSE,YOSBL4505J,01YOSBL4505J8ZN,High,41,7589471.4,13.67,FALSE
SME0365,Technology,2,789556,544,88116,FALSE,CDFXY5648T,19CDFXY5648T6ZS,High,19,3316135.2,14.53,FALSE
SME0366,Manufacturing,9,2889247,749,394370,FALSE,ZKVUA4480O,13ZKVUA4480O4ZG,High,47,10000000,15.5,FALSE
SME0367,Textile,17,2957261,546,2032643,TRUE,UGVVL6549E,33UGVVL6549E5ZR,Medium,60,10000000,11.26,TRUE
SME0368,Technology,3,3325830,819,3384659,TRUE,INHNL9339U,24INHNL9339U1ZA,Medium,68,10000000,11.03,TRUE
SME0369,Technology,6,2353722,440,3462629,TRUE,MSOHW4924C,12MSOHW4924C8Z0,High,47,9885632.4,13.92,FALSE
SME0370,Construction,5,1749729,661,529385,TRUE,ZEPQF9337B,09ZEPQF9337B2ZD,High,44,7348861.8,15.65,FALSE
SME0371,Trading,5,1216271,307,3538880,TRUE,TORAZ2756R,13TORAZ2756R2Z3,High,34,5108338.2,16.42,FALSE
SME0372,Healthcare,15,2628268,777,1582138,TRUE,VNHXT5487B,12VNHXT5487B3Z3,Medium,68,10000000,13.46,TRUE
SME0373,Trading,17,3199555,651,2027337,TRUE,PMGPG0034O,06PMGPG0034O7Z4,Medium,67,10000000,12.23,TRUE
SME0374,Services,9,1781641,794,2333724,TRUE,DGPCG7557H,03DGPCG7557H3ZD,Medium,62,10000000,13.17,TRUE
SME0375,Construction,3,616409,726,2238531,FALSE,WVFJP5704S,21WVFJP5704S5ZZ,High,38,2588917.8,15.71,FALSE
SME0376,Textile,20,766165,338,1639753,TRUE,LXFRM6647U,24LXFRM6647U6ZG,High,42,3217893,15,FALSE
SME0377,Trading,17,2888363,486,236256,FALSE,QITMB3813R,22QITMB3813R3Z9,High,40,10000000,15.22,FALSE
SME0378,Retail,10,4576321,392,430539,TRUE,ESJRY4940V,11ESJRY4940V6Z1,High,45,10000000,13.91,FALSE
SME0379,Food & Beverage,3,3810388,385,3383307,TRUE,MWQIX7642N,33MWQIX7642N3ZZ,High,46,10000000,16.31,FALSE
SME0380,Services,18,3335192,343,560242,TRUE,IGZZH5472W,23IGZZH5472W4ZP,High,46,10000000,14.56,FALSE
SME0381,Manufacturing,18,2867891,436,3507831,TRUE,RCMLO1469K,25RCMLO1469K1ZE,Medium,61,10000000,12.12,TRUE
SME0382,Textile,17,3363050,720,2858439,FALSE,OJOMN0980A,37OJOMN0980A4ZL,Medium,65,10000000,12.68,TRUE
SME0383,Services,3,1840687,373,4730553,FALSE,OPLZX5583X,17OPLZX5583X6ZG,High,33,7730885.4,14.5,FALSE
SME0384,Food & Beverage,3,2035090,847,2532919,TRUE,DBXLG3887N,14DBXLG3887N1Z7,Medium,61,10000000,11.64,TRUE
SME0385,Construction,6,845182,811,2031835,TRUE,AWUWL8133R,34AWUWL8133R6ZF,Medium,55,5071092,12.58,TRUE
SME0386,Food & Beverage,13,4037270,455,809687,FALSE,SPNHL8591B,30SPNHL8591B6ZN,High,41,10000000,13.57,FALSE
SME0387,Technology,15,516978,554,3859091,TRUE,WHXNF9708L,36WHXNF9708L3Z5,Medium,56,3101868,12.8,TRUE
SME0388,Food & Beverage,9,1133316,470,3541674,FALSE,QMSLP8488F,04QMSLP8488F2Z5,High,37,4759927.2,15.04,FALSE
SME0389,Technology,4,4919075,469,2430872,TRUE,KQZWN5863G,26KQZWN5863G5ZQ,Medium,53,10000000,12.51,TRUE
SME0390,Construction,14,2721038,621,2937503,TRUE,BFFRT7777A,11BFFRT7777A6ZF,Medium,64,10000000,12.58,TRUE
SME0391,Automotive,5,3480355,755,4941767,TRUE,BLODY2567M,19BLODY2567M5ZE,Low,74,10000000,10.29,TRUE
SME0392,Technology,2,4836905,454,360679,TRUE,WSVEM9306X,26WSVEM9306X8ZU,High,41,10000000,15.25,FALSE
SME0393,Manufacturing,11,1870485,648,4834574,TRUE,BGFED1954R,19BGFED1954R9ZN,Medium,67,10000000,12.71,TRUE
SME0394,Food & Beverage,9,4842297,750,2436105,TRUE,JWVOI9488Q,09JWVOI9488Q7Z3,Low,73,10000000,10.63,TRUE
SME0395,Food & Beverage,3,3968452,472,4821671,TRUE,UIWPF5603O,10UIWPF5603O9ZI,Medium,58,10000000,12.82,TRUE
SME0396,Manufacturing,9,4105605,309,1114381,TRUE,AVTAI3567M,15AVTAI3567M3ZX,High,40,10000000,16.11,FALSE
SME0397,Retail,3,2301044,564,2026328,TRUE,KIYXP9214Q,19KIYXP9214Q1ZK,High,45,9664384.8,14.07,FALSE
SME0398,Healthcare,2,1412743,737,4442787,TRUE,CASDW4407M,34CASDW4407M3ZG,Medium,59,8476458,12,TRUE
SME0399,Automotive,12,2841094,546,280146,TRUE,TZERO0815Q,18TZERO0815Q1Z1,High,48,10000000,16.34,FALSE
SME0400,Textile,10,2027205,845,4311828,TRUE,PQYTI4605X,01PQYTI4605X9Z9,Low,75,10000000,10.09,TRUE
SME0401,Technology,9,3834445,798,554026,TRUE,NQYSA0550N,37NQYSA0550N8Z4,Medium,64,10000000,11.31,TRUE
SME0402,Manufacturing,15,204195,428,3952863,FALSE,CWJSS2633S,12CWJSS2633S4ZU,High,39,857619,15.08,FALSE
SME0403,Construction,8,4201036,626,4318080,FALSE,JYBDX5661T,09JYBDX5661T9ZT,Medium,60,10000000,11.27,TRUE
SME0404,Technology,5,1438486,703,4384798,TRUE,ZZVSI3915Q,07ZZVSI3915Q9Z3,Medium,60,8630916,11.51,TRUE
